product_name,brand,price,currency,breadcrumbs,pdp_url,variants,image_url,description
Graphic Cross-Front Tee,Adjmi,13.50,USD,Home/All Products/Graphic Cross-Front Tee,https://www.shopjustice.com/collections/all-products/products/crossfront-tee-all-now-309029-electric-lime,"{""size"":[""XS (5/6)"",""S (7/8)"",""M (10)"",""L (12/14)"",""XL (16/18)"",""XXL (16P/18P)""],""color"":""Electric Lime""}",http://cdn.shopify.com/s/files/1/0543/8547/5781/products/309029_electric-lime_1_grande.jpg?v=1625102942,"We created this line of tees for your free-spirited girl. The front has a bold, glittering graphic boasting an affirming message. The top has a crew neckline.A reverse surplice hemline brings an on-trend update to the classic design. The soft cotton-blend fabric promises daylong comfort. And they easily pair with Justice Denim jeans.#30902960% cotton and 40% polyesterMachine wash, tumble dryImported"
Graphic Cross-Front Tee,Adjmi,13.50,USD,Home/All Products/Graphic Cross-Front Tee,https://www.shopjustice.com/collections/all-products/products/crossfront-tee-love-all-beings-309029-black,"{""size"":[""XS (5/6)"",""S (7/8)"",""M (10)"",""L (12/14)"",""XL (16/18)"",""XXL (16P/18P)""],""color"":""Black""}",http://cdn.shopify.com/s/files/1/0543/8547/5781/products/309029_black_1_grande.jpg?v=1625102937,"We created this line of tees for your free-spirited girl. The front has a bold, glittering graphic boasting an affirming message. The top has a crew neckline.A reverse surplice hemline brings an on-trend update to the classic design. The soft cotton-blend fabric promises daylong comfort. And they easily pair with Justice Denim jeans.#30902960% cotton and 40% polyesterMachine wash, tumble dryImported"
Graphic Cross-Front Tee,Adjmi,13.50,USD,Home/All Products/Graphic Cross-Front Tee,https://www.shopjustice.com/collections/all-products/products/crossfront-tee-let-your-soul-glow-309029-pearl-heather,"{""size"":[""XS (5/6)"",""S (7/8)"",""M (10)"",""L (12/14)"",""XL (16/18)"",""XXL (16P/18P)""],""color"":""Pearl Heather""}",http://cdn.shopify.com/s/files/1/0543/8547/5781/products/309029_pearl-heather_1_grande.jpg?v=1625102946,"We created this line of tees for your free-spirited girl. The front has a bold, glittering graphic boasting an affirming message. The top has a crew neckline.A reverse surplice hemline brings an on-trend update to the classic design. The soft cotton-blend fabric promises daylong comfort. And they easily pair with Justice Denim jeans.#30902960% cotton and 40% polyesterMachine wash, tumble dryImported"
Collection X by Justice Patterned Long Line Bra,Adjmi,16.50,USD,Home/All Products/Collection X by Justice Patterned Long Line Bra,https://www.shopjustice.com/collections/all-products/products/col-x-two-fer-tank-302358-cozy-pink-floral,"{""size"":[""XS (5/6)"",""S (7/8)"",""M (10)"",""L (12/14)"",""XL (16/18)"",""XXL (16P/18P)""],""color"":""Cozy Pink Floral""}",http://cdn.shopify.com/s/files/1/0543/8547/5781/products/302358_cozy-pink-floral_1_grande.jpg?v=1625872121,"We elevated our girls’ sports bras with all the extra-special details Collection X by Justice is known for, like the bold allover pattern and lace-front design. The scoop neckline creates a form-fitting shape. They have tons of stretch—which promises a comfy fit. Plus, the thick band and wide straps promise a secure, fuss-free fit.#30235892% polyester and 8% elastaneMachine wash, tumble dryImported"
Collection X by Justice Lace-Front Full-Length Leggings,Adjmi,16.50,USD,Home/All Products/Collection X by Justice Lace-Front Full-Length Leggings,https://www.shopjustice.com/collections/all-products/products/aop-lace-up-legging-450338-cozy-pink-floral,"{""size"":[""XS (5/6)"",""S (7/8)"",""M (10)"",""L (12/14)"",""XL (16/18)"",""XXL (16P/18P)""],""color"":""Cozy Pink Floral""}",http://cdn.shopify.com/s/files/1/0543/8547/5781/products/450338_cozy-pink-floral_1_grande.jpg?v=1625597487,"We designed our girls’ leggings with a wide waistband and stretchy fabric that’s super-comfy and follows her every movement. Brightly hued laces and shiny gold grommets highlight the front. And the bold pattern lends standout style—plus it’s a perfect match for tees and other pieces in this capsule collection.#45033892% polyester and 8% elastaneMachine wash, tumble dryImported"
Collection X by Justice Patterned Long Line Bra,Adjmi,16.50,USD,Home/All Products/Collection X by Justice Patterned Long Line Bra,https://www.shopjustice.com/collections/all-products/products/col-x-two-fer-tank-302358-angel-peach-marble,"{""size"":[""XS (5/6)"",""S (7/8)"",""M (10)"",""L (12/14)"",""XL (16/18)"",""XXL (16P/18P)""],""color"":""Angel Peach Marble""}",http://cdn.shopify.com/s/files/1/0543/8547/5781/products/302358_angel-peach-marble_1_grande.jpg?v=1625872104,"We elevated our girls’ sports bras with all the extra-special details Collection X by Justice is known for, like the bold allover pattern and lace-front design. The scoop neckline creates a form-fitting shape. They have tons of stretch—which promises a comfy fit. Plus, the thick band and wide straps promise a secure, fuss-free fit.#30235892% polyester and 8% elastaneMachine wash, tumble dryImported"
Collection X by Justice Graphic Layered Tank,Adjmi,19.50,USD,Home/All Products/Collection X by Justice Graphic Layered Tank,https://www.shopjustice.com/collections/all-products/products/col-x-two-fer-tank-304112-angel-peach,"{""size"":[""XS (5/6)"",""S (7/8)"",""M (10)"",""L (12/14)"",""XL (16/18)"",""XXL (16P/18P)""],""color"":""Angel Peach""}",http://cdn.shopify.com/s/files/1/0543/8547/5781/products/304112_angel-peach_1_grande.jpg?v=1625102897,"We elevated our girls’ tanks with all the extra-special designs and details Collection X by Justice is known for. The soft, durable fabric promises wear after wear. A layered design brings on-trend edge. Bias binding finishes the neckline and armholes. A bold graphic highlights the front. And the vibrant hues are a perfect match for leggings and other pieces in this capsule collection.#304112Body: 96% rayon and 4% spandexSelf: 90% polyester and 10% spandexMachine wash, tumble dryImported"
Collection X by Justice Lace-Front Full-Length Leggings,Adjmi,16.50,USD,Home/All Products/Collection X by Justice Lace-Front Full-Length Leggings,https://www.shopjustice.com/collections/all-products/products/aop-lace-up-legging-450338-angel-peach-marble,"{""size"":[""XS (5/6)"",""S (7/8)"",""M (10)"",""L (12/14)"",""XL (16/18)"",""XXL (16P/18P)""],""color"":""Angel Peach Marble""}",http://cdn.shopify.com/s/files/1/0543/8547/5781/products/450338_angel-peach-marble_1_grande.jpg?v=1625597483,"We designed our girls’ leggings with a wide waistband and stretchy fabric that’s super-comfy and follows her every movement. Brightly hued laces and shiny gold grommets highlight the front. And the bold pattern lends standout style—plus it’s a perfect match for tees and other pieces in this capsule collection.#45033892% polyester and 8% elastaneMachine wash, tumble dryImported"
Disney® Dip-Dye Tie-Front Tee,Adjmi,18.00,USD,Home/All Products/Disney® Dip-Dye Tie-Front Tee,https://www.shopjustice.com/collections/all-products/products/disney-dip-dye-tee-007229-multi,"{""size"":[""5/6"",""7/8"",""10"",""12/14"",""16/18"",""16/18PL""],""color"":""Multi""}",http://cdn.shopify.com/s/files/1/0543/8547/5781/products/007229_multi_1_grande.jpg?v=1614912576,"The Justice X Disney® collab has looks with timeless graphics and on-trend designs your girl will love. Our girls’ tees sport a classic crew neckline and short sleeves, plus they tie at the front hemline. They’redip-dyed, and a graphic on the front reps her Disney® faves. Soft cotton-blend fabric and a relaxed-cut promise breezy comfort. Effortlessly pair them with matching shorts or leggings from our Disney® collection.#722960% cotton and 40% polyesterMachine wash, tumble dryImported"
Disney® Mickey Graphic Jogger Shorts,Adjmi,15.00,USD,Home/All Products/Disney® Mickey Graphic Jogger Shorts,https://www.shopjustice.com/collections/all-products/products/disney-short-006578-black,"{""size"":[""5/6"",""7/8"",""10"",""12/14"",""16/18"",""16/18PL""],""color"":""Black""}",http://cdn.shopify.com/s/files/1/0543/8547/5781/products/006578_black_1_grande.jpg?v=1614968097,"The Justice X Disney® collab has looks with timeless graphics and on-trend designs your girl will love. Our girls’ jogger shorts sport a stretchy waistband that keeps up with her moves. A graphic on the front reps her Disney® faves. And the cotton-blend fabric is infused with a hint of stretch that promises comfy wear. Effortlessly pair them with matching tees from our Disney® collection.#657857% cotton, 23% viscose, 18% polyester and 2% elastaneMachine wash, tumble dryImported"
